,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1528375425,,,270.7,65.5,,,,,,,,,,,,,,,,,,,,,0.0,,
1528375426,0.0,691.875,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,
1528375428,0.0,689.5,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1528375429,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1528375430,,,271.8,63.7,0.3,0.1,,,,,,,,,,,,,,40.5,24.96875,,,,0.0,,
1528375431,0.0,687.375,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1528375433,0.0,692.625,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,
1528375434,,,272.5,65.5,,,,8.13,,,,,,,,,,,,,,,,,0.0,,
1528375435,0.0,688.125,,,,,,,,,,,,,,,,,,,,20.0,,,0.0,,
1528375437,0.0,691.25,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,
1528375438,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1528375439,,,272.85,61.2,,,,,,,,,,,,,,,,,,,,,0.0,,
1528375440,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,
1528375441,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,
1528375442,0.0,690.75,273.2,64.4,,,,,,,,,,,,,,,,,,,,,0.0,,
1528375443,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1528375444,,,,,,,,,,,,20.0,21.0,,,,,,,,,,,,0.0,,
1528375445,0.0,682.5,273.6,61.2,,,,,,,,,,,,,,,,,,,,,0.0,,
1528375448,0.0,684.125,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1528375449,,,273.2,63.0,,,,,,,,,,,,,,,,,,,,,0.0,,
1528375450,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1528375451,0.0,688.375,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,
1528375452,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,
1528375455,0.0,686.375,,,,,,,,,,,,,,,,,,,,,53.875,98.0,0.0,,
1528375456,,,,,,,,8.13,,,,,,,,,,,,,,,,,0.0,,
1528375457,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,
1528375458,,,,,0.4,0.1,,,,,,,,,,0.0,,,,55.0,36.65625,,,,0.0,,
1528375459,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1528375461,0.0,681.875,,,,,,,,,,,,,,,,,,,,,,,0.0,25.5,21.1875
1528375462,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,
1528375463,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1528375464,,,274.65,60.45,,,,,,,,,,,,,,,,,,,,,0.0,,
1528375465,0.0,682.375,,,,,,,,,,,,,,,,,,,,,,,0.0,26.875,21.1875
1528375467,,,,,,,,8.34,,,,,,,,,,,,,,,,,0.0,,
1528375468,0.0,685.875,,,,,,,,,,,,,,,,,,,,,,,0.0,,
