,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1530707721,0.0,688.375,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1530707722,,,,,,,,,,,,,,,,,,,30.875,,,,,,0.0,,
1530707723,,,,,0.4,0.1,,,,,,,,,,,,,,,,,,,0.0,,
1530707724,0.0,683.625,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1530707725,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1530707727,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1530707728,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1530707729,,,264.2,68.0,,,0.0,,,,,,,,,,,,,,,,,,0.0,,
1530707730,0.0,685.875,264.95,64.05,,,0.0,,,,,,,,,,32.84375,0.2,,,,,,,0.0,,
1530707731,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1530707732,,,265.65,62.6,,,0.0,,,,,,,,,,,,,,,,,,0.0,,
1530707733,0.0,692.125,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1530707734,,,,,0.4,0.1,,,,,,,,,,,,,,50.09375,35.25,,,,0.0,,
1530707736,0.0,692.625,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,
1530707737,,,265.65,64.8,,,0.0,,,,,,,,,,,,,,,,,,0.0,,
1530707738,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1530707739,0.0,690.125,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1530707741,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,
1530707742,0.0,692.125,,,,,,,,,,,,,,,38.59375,0.2,,53.9375,38.59375,,,,0.0,,
1530707743,,,,,,,,,,,,,,,,,,,,,,,,,0.0,30.1875,27.0
1530707744,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,
1530707745,0.0,692.375,266.4,65.5,,,,,,,,,,,,,,,,,,,,,0.0,,
1530707747,0.0,689.625,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1530707748,,,,,,,,10.64,,,,,,,,,,,,,,,,,0.0,,
1530707749,0.0,689.625,267.45,68.0,,,0.0,,,,,28.0,30.0,,,,,,,,,,,,0.0,,
1530707750,,,,,,,,,,,,,,,,,40.5,0.2,,,,,,,0.0,,
1530707752,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,
1530707753,,,,,0.4,0.1,,,,,,,,,,,,,,,,,,,0.0,,
1530707754,0.0,690.125,267.8,66.95,,,0.0,,,,,,,,,,,,,,,,,,0.0,,
1530707755,,,,,,,,,,,,,,,,,42.375,0.3,,,,,,,0.0,,
1530707756,0.0,685.625,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1530707757,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,
