,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1535554977,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1535555884,,,,,,,,,,,,,,,,,351.53125,7.4,,353.84375,351.53125,,,,0.0,,
1535555885,,,,,,,,,,,,,,,,,,,,,,17.0,,,0.0,338.09375,337.0
1535555887,,,,,,,,36.63,,,,,,,,,,,,353.84375,351.0,,,,0.0,,
1535555888,95.0,1561.0,1802.5,948.95,,,,,,,,,,,,,,,,,,,,,0.0,,
1535555889,,,,,,,77.0,,,,,,,,,,351.5,7.4,,353.84375,351.5,,,,0.0,,
1535555890,94.0,1562.875,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1535555891,,,,,,,76.0,,,,,,,,,,,,,,,,,,0.0,,
1535555892,94.0,1561.5,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1535555894,,,,,,,,,,,,,,,,,350.9375,7.4,,354.1875,350.9375,,,,0.0,,
1535555895,89.0,1569.625,,,,,,,,,,,,,,115.109375,,,,,,,,,0.0,,
1535555896,,,,,,,,,,,,,,,,,,,356.78125,,,,,,0.0,,
1535555897,67.0,1579.375,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1535555899,,,,,,,,,,,,,,,,,,,,,,23.0,,,0.0,,
1535555900,62.0,1584.125,,,,,,,,,,,,,,,350.9375,5.9,,352.4375,350.9375,,,,0.0,,
1535555901,,,1368.35,643.65,,,,57.3,,,,,,,,,,,,,,,,,0.0,,
1535555902,,,,,,,,,,,,,,,,,350.9375,5.5,,351.125,350.9375,,,,0.0,,
1535555903,53.0,1581.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1535555904,,,,,,,38.0,,,,,,,,,115.36719,,,,,,,,,0.0,,
1535555905,,,1012.3,279.35,7.5,3.3,,,,,,,,,,,,,,350.9375,350.90625,,,,0.0,,
1535555906,0.0,1562.25,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1535555908,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1535555909,44.0,1554.75,,,5.2,2.1,,,,,,,,,,,,,,,,,,,0.0,,
1535555910,,,,,,,,31.51,,,,,,,,,,,,,,,,,0.0,,
1535555911,,,1173.95,574.9,,,,,,,,,,,,113.484375,,,,,,,,,0.0,,
1535555912,,,,,,,27.0,,,,,,,,,113.484375,349.53125,4.6,,349.78125,349.53125,,,,0.0,,
1535555913,,,,,,,29.0,,,,,,,,,,,,,,,,,,0.0,,
1535555914,41.0,1548.125,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1535555915,,,,,,,,,,57020.0,,,,,,113.203125,,,,,,,,,0.0,,
1535555916,41.0,1548.125,,,,,29.0,,,,,,,,,,,,,,,,,,0.0,,
1535555917,,,825.8,472.3,,,,,,,,,,,,,,,,,,,,,0.0,,
1535555918,,,,,,,25.0,,,,,,,0.0,344.0,,,,,,,,,,0.0,,
1535555919,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1535555920,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1535555921,44.0,1535.875,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1535555922,,,808.9,484.2,,,22.0,,,,,,,,,,,,,,,,,,0.0,,
1535555923,,,,,5.2,2.1,,,,,,,,,,,348.0625,3.0,,356.9375,348.0625,,,,0.0,,
1535555924,43.0,1529.875,,,,,,,,,,,,,,,,,,,,17.0,,,0.0,,
1535555925,,,,,5.4,2.2,,,,,,,,,,112.203125,,,,360.3125,348.0625,,,,0.0,,
1535555926,,,834.45,532.4,,,,,,,,,,,,,,,,,,,,,0.0,,
1535555927,,,,,,,23.0,,,,,,,,,,,,,,,,,,0.0,,
1535555928,,,1095.8,897.8,,,,,,,,,,,,,347.8125,3.3,,362.46875,347.8125,,,,0.0,,
1535555929,,,,,,,43.0,,,,,,,,,,,,,,,,,,0.0,,
1535555930,65.0,1533.875,,,13.6,6.7,,,,,,,,,,,,,,,,,,,0.0,,
1535555931,,,1513.4,688.65,,,,,,,,,,,,,,,,,,,,,0.0,,
1535555932,,,,,,,,64.81,,,,,,,,,,,,,,,,,0.0,,
1535555933,,,1193.0,595.05,11.0,5.2,,,,,,,,,,,,,,365.375,347.40625,,,,0.0,,
1535555934,,,,,7.9,3.4,,,,,,,,,,,,,353.78125,,,,,,0.0,,
