,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1526490493,8.0,728.5,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1526490494,,,,,0.7,0.1,,,,,,,,,,,,,,,,,,,1.0,,
1526490495,,,226.8,46.4,,,,,,,,,,,,,,,,,,,,,1.0,,
1526490496,8.0,725.125,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1526490497,,,227.15,45.7,,,0.0,,,,,,,,,0.0,,,,,,,,,1.0,96.6875,102.59375
1526490499,8.0,725.125,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1526490500,,,228.6,57.6,,,,,,,,,,,,,,,,,,,88.375,92.0,1.0,,
1526490501,,,,,0.9,0.2,,,,,,,,,,,,,,90.15625,136.25,,,,1.0,,
1526490502,8.0,770.25,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1526490503,,,,,,,,,,,,82.0,84.0,,,,,,,,,,,,1.0,,
1526490504,,,,,,,,,,,,,,,,0.0,,,,,,,,,1.0,,
1526490505,,,303.45,73.8,,,0.0,4.69,,,,,,,,,,,,,,,,,1.0,,
1526490507,8.0,1038.125,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1526490509,,,,,,,0.0,,,,,,,,,,136.25,0.9,,,,,,,1.0,,
1526490512,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1526490514,8.0,1029.25,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1526490515,,,,,,,0.0,,,,,,,,,,136.25,0.9,,,,,,,1.0,105.1875,113.6875
1526490516,,,,,,,,,,,,,,,,0.0,,,,,,,,,1.0,,
1526490517,8.0,1039.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1526490518,,,312.1,77.4,,,,,,,,,,,,,,,,,,,,,1.0,,
1526490519,,,312.8,77.75,,,,,,,,,,,,,,,,,,,,,1.0,,
1526490520,,,313.55,77.4,,,,,,,,,,,,,,,,,,,,,1.0,,
1526490521,,,314.6,77.4,,,,,,,,,,,,,,,,,,,,,1.0,,
1526490522,8.0,1035.5,,,1.3,0.3,,,,,,,,,,,,,,99.90625,136.25,,,,1.0,,
1526490523,,,,,,,,,,,,,,,,,,,,,,,,,1.0,108.6875,117.6875
1526490524,,,,,,,0.0,,,,,,,,,,,,,,,,,,1.0,,
1526490525,9.0,1028.75,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1526490526,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1526490527,8.0,1030.5,,,,,,6.88,,,,,,,,,,,,,,,,,1.0,,
1526490528,,,314.6,76.65,,,,,,,,,,,,,,,,,,,,,1.0,,
1526490529,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1526490530,,,,,1.3,0.3,,,,,,,,,,,136.25,0.9,,102.375,136.25,,,,1.0,,
1526490531,9.0,1027.625,313.9,77.4,,,,6.88,,,,,,,,,,,,,,,,,1.0,,
1526490533,,,,,1.3,0.3,,,,,,,,,,,,,,,,,,,1.0,,
1526490534,9.0,1030.75,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1526490535,,,,,,,0.0,,,,,,,,,,,,,,,,,,1.0,,
1526490536,8.0,1025.75,,,,,,,,,,,,,,0.0,,,,,,,,,1.0,,
1526490537,,,,,,,,,,,,,,,,,,,,,,,107.1875,88.0,1.0,,
1526490538,,,,,,,0.0,,,,,,,,,,134.15625,0.9,,,,,,,1.0,,
1526490540,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1526490541,,,,,,,,6.57,,,,,,,,,,,,,,,,,1.0,,
1526490542,,,,,,,0.0,,,,,,,,,,,,,,,,,,1.0,,
1526490543,9.0,1024.375,315.0,78.1,,,,,,,,,,,,,,,,,,,,,1.0,,
1526490546,9.0,1024.75,317.5,77.75,,,,,,,,,,,,,133.84375,0.9,,,,,109.59375,88.0,1.0,,
1526490547,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1526490548,8.0,1035.0,317.85,76.65,1.2,0.3,,,26.0,,,,,,,,,,,,,,,,1.0,,
1526490549,,,,,,,,6.57,,,,,,,,,,,,,,,,,1.0,,
1526490550,9.0,1025.25,317.85,77.0,,,,,,,,,,,,,,,,,,,,,1.0,,
1526490551,,,316.8,77.75,,,0.0,,,,,,,,,,,,,,,,,,1.0,,
1526490552,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1526490553,,,,,,,,,,,,,,,,,,,,112.71875,131.4375,,,,1.0,,
1526490554,8.0,1035.5,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1526490556,,,320.0,76.3,,,,,,,,,,,,,,,,,,,,,1.0,,
1526490557,,,,,,,,,,,,,,,,0.0,,,,,,,,,1.0,,
1526490558,,,,,,,0.0,7.2,,,,,,,,,,,,,,,,,1.0,,
1526490559,8.0,1058.75,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1526490560,,,,,,,,,,,,,,,,0.0,,,,,,,,,1.0,,
1526490563,8.0,996.5,,,,,,,,,,,,,,,,,153.09375,,,,116.78125,88.0,1.0,,
1526490564,,,,,,,,,,,,,,0.0,340.0,,,,,,,,,,1.0,,
1526490565,8.0,1008.0,312.8,73.4,,,0.0,,,,,,,,,,,,,,,,,,1.0,,
1526490566,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1526490567,8.0,1013.5,313.2,73.4,,,,,,,,,,,,,,,,,,,,,1.0,,
1526490569,8.0,1016.375,,,,,0.0,,,,,,,,,,,,,,,,,,1.0,,
1526490570,,,314.25,73.4,,,,,,,,,,,,,,,,,,,,,1.0,,
1526490571,,,,,,,0.0,,,,,,,,,,,,,,,,,,1.0,,
1526490572,8.0,1012.75,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1526490573,,,,,1.2,0.3,,,,,,,,,,,,,,,,,,,1.0,,
1526490574,8.0,1016.5,313.9,73.8,,,,,,,,,,,,,,,,,,,,,1.0,,
1526490575,,,314.25,73.4,,,,,,,,,,,,,,,,,,,,,1.0,,
1526490576,,,,,1.2,0.3,,,,,,,,,,,,,,,,,,,1.0,,
1526490577,,,315.35,75.2,1.2,0.3,,,,,,,,,,,,,,,,,,,1.0,,
1526490578,,,,,,,0.0,,,,,,,,,,124.1875,0.9,,,,,,,1.0,,
1526490579,,,,,,,,,,,,,,,,,,,,,,,119.28125,88.0,1.0,,
1526490580,8.0,1018.5,,,1.2,0.3,0.0,,,,,,,,,,,,,,,,,,1.0,,
1526490582,,,,,,,0.0,,,,,,,,,,,,,,,,,,1.0,,
1526490583,8.0,1008.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1526490584,,,,,,,0.0,,,,,,,,,,,,,,,34.5,,,1.0,,
1526490585,,,,,,,0.0,,,,,,,,,,123.5625,0.9,,,,,,,1.0,,
1526490587,,,,,,,0.0,,,,,,,,,,,,,,,,,,1.0,,
1526490588,8.0,1017.875,,,,,,,,,,,,,,,121.75,0.9,,,,,,,1.0,,
1526490589,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1526490590,8.0,1015.625,313.9,74.5,,,,,,,,,,,,,,,,,,,,,1.0,,
1526490592,9.0,979.25,306.7,74.5,,,,,,,,,,,,,,,,,,,,,1.0,,
1526490593,,,,,,,0.0,,,,,,,,,,121.75,0.9,,124.15625,121.75,,,,1.0,,
1526490594,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1526490596,9.0,993.25,308.15,75.6,,,,5.84,,,,,,,,,,,,,,,,,1.0,,
1526490597,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1526490598,8.0,1002.75,,,,,0.0,,,,,,,,,0.0,,,,,,,,,1.0,,
1526490599,,,312.1,73.4,,,,,,,,,,,,,121.71875,0.9,,126.5625,121.71875,,,,1.0,,
1526490600,,,,,1.2,0.3,,,,,,,,,,,,,,,,,,,1.0,,
1526490601,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1526490603,,,210.2,42.1,,,,,,,,,,,,,,,,,,,,,1.0,,
1526490604,0.0,595.625,,,,,,,,,,,,,,,,,,,,,,,1.0,,
