,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1524152722,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1524152723,80.0,1617.75,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1524152724,,,1824.8,988.9,,,,,,,,,,,,,,,,,,,,,0.0,,
1524152725,74.0,1633.5,,,,,,33.71,,,,,,0.0,384.0,,307.65625,5.9,,,,,,,0.0,,
1524152726,,,,,13.7,7.8,,,,,,,,,,119.28125,,,,310.53125,306.625,,,,0.0,,
1524152727,56.0,1632.5,,,,,101.0,,,,,,,,,,,,,,,,,,0.0,,
1524152728,,,,,,,77.0,,,,,,,,,,,,,,,,,,0.0,,
1524152729,,,,,,,70.0,,,,,,,,,,,,,,,,,,0.0,,
1524152730,,,,,9.7,5.1,,,,,,,,,,,,,,307.6875,307.65625,,,,0.0,,
1524152731,59.0,1640.625,,,,,66.0,,,,,,,,,,,,,,,,,,0.0,,
1524152733,,,,,,,65.0,,,,,,,,,,,,,,,,,,0.0,,
1524152734,53.0,1641.5,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1524152736,,,,,,,,,,,,,,0.0,400.0,,,,,,,,,,0.0,,
1524152737,,,,,,,43.0,,,,,,,,,,,,,,,,,,0.0,,
1524152738,70.0,1657.25,,,,,,,,,,,,,,,304.78125,4.8,,311.25,304.78125,,,,0.0,,
1524152739,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1524152740,,,,,12.0,6.7,,,,,,,,,,122.57031,,,,,,,,,0.0,,
1524152741,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1524152742,50.0,1679.25,1630.8,749.85,,,,,,,,,,,,,,,,,,,,,0.0,,
1524152745,48.0,1674.75,,,,,59.0,,,,,,,,,,,,,,,,,,0.0,,
1524152746,,,,,6.3,3.1,,,,,,,,,,,,,,310.5625,304.78125,,,,0.0,,
1524152747,56.0,1675.625,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1524152748,,,,,7.0,3.5,,,,,,,,,,,,,,311.28125,304.78125,,,,0.0,,
1524152749,,,,,,,,,,,,,,,,,304.78125,4.0,,,,,,,0.0,,
1524152750,56.0,1686.375,,,8.9,4.6,,,,,,,,,,,,,,,,,,,0.0,,
1524152752,55.0,1685.875,1391.4,704.5,,,,43.42,,,,,,,,,,,,,,,,,0.0,,
1524152754,55.0,1689.875,,,,,55.0,,,,,,,,,,,,,,,,,,0.0,,
1524152755,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1524152756,56.0,1691.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1524152757,,,,,,,,,,,,,,,,123.88281,,,,,,,,,0.0,,
1524152758,,,,,,,,,,,,,,,,124.40625,,,,,,,,,0.0,,
1524152759,54.0,1699.0,1371.2,694.8,,,,,,,,,,,,,,,,,,,,,0.0,,
