,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1535718404,8.0,945.875,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1535718405,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1535718407,,,,,0.4,0.1,,,,,,,,,,,,,,,,,,,0.0,,
1535718408,6.0,616.75,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1535718410,,,,,,,,,,,,,,,,,,,,,,,46.78125,98.0,0.0,,
1535718411,7.0,599.875,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1535718412,,,,,,,,,,,,,,,,,,,,47.3125,38.59375,,,,0.0,,
1535718413,,,,,,,,4.69,,,,,,,,,,,,,,,,,0.0,,
1535718415,,,,,0.6,0.2,,,,,,,,,,,,,,,,,,,0.0,,
1535718417,14.0,744.125,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1535718419,9.0,595.375,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1535718420,,,,,,,,16.07,,,,,,,,,,,,,,,,,0.0,,
1535718422,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,
1535718423,15.0,863.625,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1535718424,,,,,,,,4.9,,,,,,,,,,,,,,,,,0.0,,
1535718426,19.0,794.25,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1535718427,,,,,0.9,0.4,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,
1535718428,,,,,1.0,0.4,,,,,,,,,,,,,,,,,,,0.0,,
1535718429,9.0,1104.375,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1535718431,9.0,1107.5,474.8,185.0,,,,,,,,,,,,,44.34375,0.6,,,,,,,0.0,,
1535718432,,,,,,,0.0,5.84,,33172.0,,,,,,,,,,,,,,,0.0,,
1535718433,9.0,1090.75,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1535718434,,,,,,,0.0,,,,,,,,,,,,,,,,59.59375,110.0,0.0,,
1535718435,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1535718436,9.0,1092.375,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1535718438,9.0,1079.0,,,1.2,0.5,,,,,,,,,,,,,,63.5,46.25,,,,0.0,,
1535718439,,,,,1.1,0.5,,,,,,,,,,,,,,63.5,46.25,,,,0.0,,
1535718440,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1535718441,9.0,709.5,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1535718442,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,
1535718444,15.0,776.625,303.1,101.85,,,0.0,,,,,,,,,,,,,,,,,,0.0,,
1535718445,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1535718447,,,345.95,156.2,,,,,,,,,,,,,,,,65.4375,47.96875,,,,0.0,,
1535718448,,,291.6,56.85,,,,,,,,,,,,,,,,,,,,,0.0,,
1535718449,11.0,646.5,274.65,49.3,,,,,,,,,,,,,,,,,,,,,0.0,,
1535718451,,,,,,,0.0,,,,,,,,,,,,,65.75,48.1875,,,,0.0,,
1535718452,,,,,0.3,0.1,,16.49,,,,,,,,,,,,65.46875,48.1875,,,,0.0,,
1535718454,9.0,642.125,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1535718455,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1535718456,14.0,704.375,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1535718457,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1535718459,4.0,595.625,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1535718460,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1535718461,7.0,600.125,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1535718462,,,,,,,,,,,,,,,,,48.1875,0.0,,,,,,,0.0,,
1535718463,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1535718464,3.0,600.125,,,0.2,0.1,,,,,,27.0,29.0,,,,,,,,,,,,0.0,,
1535718466,,,235.4,32.4,,,0.0,,,,,,,,,,48.21875,0.1,,,,,,,0.0,,
1535718467,,,235.4,32.0,,,,,,,,,,,,,48.21875,0.1,,,,,,,0.0,,
1535718468,,,235.4,32.75,,,,,,,,,,,,,,,,,,,,,0.0,,
1535718469,17.0,657.125,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1535718470,,,322.2,135.7,,,,,,,,,,,,,48.78125,0.3,,,,,,,0.0,,
1535718471,,,348.45,155.5,,,,,,,,,,,,,,,,,,,,,0.0,,
1535718495,15.0,900.125,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,
1535718497,,,,,,,,,,,,,,,,,50.09375,0.5,,,,,,,0.0,,
1535718498,14.0,913.75,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,
1535718499,,,,,,,,,,,,,,,,,,,,71.1875,50.09375,,,,0.0,,
1535718500,,,341.6,28.4,0.9,0.4,,,,,,,,,,,,,,,,,,,0.0,,
1535718501,12.0,858.375,,,,,0.0,,,,,,,,,,,,,71.1875,50.53125,,,,0.0,,
1535718503,13.0,794.875,,,,,,,,,,,,,,,51.9375,0.3,,,,,,,0.0,,
1535718504,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1535718505,15.0,793.875,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1535718506,,,,,0.5,0.2,,,,,,,,,,,,,,72.125,52.0,,,,0.0,,
1535718507,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1535718508,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1535718509,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,
1535718510,17.0,726.875,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1535718511,,,292.65,38.5,,,,,,,,,,,,,,,,,,,,,0.0,,
1535718513,16.0,881.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1535718515,,,335.15,47.15,0.7,0.3,,,,,,,,,,,,,,75.03125,53.9375,,,,0.0,,
1535718516,15.0,910.25,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1535718517,,,345.2,40.65,,,,,,,,,,,,,53.9375,0.4,,75.03125,53.9375,,,,0.0,,
1535718518,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1535718519,,,368.25,33.8,,,,,,,,,,,,,,,,76.9375,55.5625,,,,0.0,,
1535718520,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1535718521,10.0,964.0,,,,,,4.9,,,,,,,,,,,,,,,,,0.0,,
1535718522,,,,,,,0.0,,,,,,,,,,55.84375,0.4,,,,,,,0.0,,
1535718523,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,
1535718524,11.0,952.125,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1535718525,,,,,,,0.0,5.21,,,,,,,,,,,,,,,,,0.0,,
1535718526,,,,,,,,5.84,,,,29.0,31.0,,,,,,,,,,,,0.0,,
1535718527,9.0,1025.75,,,,,,5.84,,,,,,,,,,,,,,,,,0.0,40.28125,56.28125
1535718528,,,,,,,,,,,,,,0.0,504.0,,,,,,,,,,0.0,,
1535718529,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,
1535718531,10.0,1015.625,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1535718533,,,,,0.7,0.3,,,,,,,,,,,,,,,,,,,0.0,,
1535718534,,,,,,,,5.52,,,,,,,,,,,,,,,,,0.0,,
1535718535,9.0,1017.875,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1535718536,,,,,,,,5.21,,,,,,,,,,,,,,,,,0.0,,
1535718538,,,319.65,31.3,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,
1535718539,,,,,,,,,,,,,,,,,,,,,,,,,0.0,40.28125,60.5
