,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1526058693,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,0.0,,
1526058794,0.0,627.25,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1526058795,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1526058796,,,,,,,,,,,,,,0.0,152.0,,,,,,,,,,0.0,,
1526058797,60.0,667.375,,,1.0,0.5,,,,,,,,,,,,,,191.90625,273.03125,,,,0.0,,
1526058799,60.0,854.875,,,,,0.0,,,,,,,,,,,,,,,,192.5,128.0,0.0,,
1526058800,,,512.25,385.2,,,,,,,,,,,,,,,,,,,,,0.0,,
1526058802,17.0,1082.25,,,,,,,,,,,,0.0,268.0,,,,,,,,,,0.0,,
1526058804,,,,,,,,,,,,,,0.0,308.0,,,,,,,,,,0.0,,
1526058805,21.0,1203.375,609.8,358.55,,,,,,,,,,,,,,,,,,,,,0.0,,
1526058807,,,,,,,,,,,,,,,,18.90625,273.125,1.5,,203.875,273.125,,,,0.0,,
1526058809,,,680.4,390.95,,,0.0,,,,,,,,,,,,,,,,,,0.0,,
1526058810,19.0,1370.5,703.4,408.2,,,,,,,,,,,,20.09375,,,,,,,,,0.0,,
1526058811,,,,,,,,,,,,100.0,91.0,,,,,,,,,,,,0.0,,
1526058812,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1526058813,7.0,1423.25,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1526058814,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1526058816,,,682.9,370.05,,,,,,,,,,,,,,,,,,,,,0.0,,
1526058817,,,,,,,,4.69,,,,,,0.0,360.0,,,,,,,,,,0.0,,
1526058818,0.0,1300.75,,,3.5,1.7,,,,,,,,,,19.4375,,,,,,,,,0.0,,
1526058819,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1526058820,0.0,1265.75,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1526058821,,,,,,,,4.69,,,,,,,,,,,,,,,,,0.0,,
1526058822,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,
1526058824,0.0,597.875,279.35,41.4,,,,,,,,,,,,,,,,,,15.0,,,0.0,,
1526058825,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1526058826,0.0,601.125,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1526058827,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,
