,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1536087502,,,,,14.0,6.3,,,,,,,,,,,,,,379.28125,371.125,,,,0.0,,
1536087503,100.0,1454.5,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1536087505,,,1572.1,882.7,,,70.0,,,,,,,,,,,,,,,,,,0.0,,
1536087506,,,,,,,72.0,,,,,,,,,,,,,,,,,,0.0,,
1536087507,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1536087508,100.0,1437.875,1569.2,874.4,,,,,,,,,,,,,,,,,,,,,0.0,,
1536087510,100.0,1436.125,1567.4,873.0,,,,,,,,,,,,,,,,,,,,,0.0,,
1536087511,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1536087512,,,,,14.3,6.5,88.0,,,,,,,,,,,,,,,,,,0.0,,
1536087513,100.0,1433.5,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1536087515,100.0,1429.125,,,,,92.0,,,,,,,,,,,,,,,,382.5,308.0,0.0,,
1536087516,,,1556.6,862.2,,,93.0,,,,,,,,,,,,,,,,,,0.0,,
1536087518,100.0,1419.625,,,,,94.0,30.68,,,,,,,,,,,,,,,,,0.0,,
1536087519,,,,,,,,,,,,,,,,103.47656,,,,,,,,,0.0,,
1536087520,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1536087521,,,1544.75,853.55,,,,,,,,,,,,,,,,,,,,,0.0,348.6875,334.875
1536087522,,,,,,,96.0,,,,,,,,,,374.0,7.7,,384.84375,374.0,,,,0.0,,
1536087523,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1536087524,,,,,,,,,,,,,,,,102.86719,374.0,7.7,,385.53125,374.0,,,,0.0,,
1536087526,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1536087527,,,,,,,100.0,,,,,,,,,,,,,,,,,,0.0,,
1536087528,100.0,1398.125,,,,,,28.49,,,,,,,,,,,,,,,,,0.0,,
1536087530,,,1513.4,847.4,,,,,,,,,,,,,,,,,,,,,0.0,,
1536087531,,,1513.05,846.7,,,,,,,,,,,,,,,,,,,,,0.0,,
1536087532,100.0,1389.875,,,,,,,,,,,,,,,,,,,,37.5,,,0.0,,
1536087534,100.0,1388.625,,,,,,27.86,,,,,,,,,,,,,,,,,0.0,,
1536087535,,,,,,,109.0,,,,,,,,,,376.875,7.6,,388.40625,376.875,,,,0.0,,
1536087536,,,,,,,,27.34,,,,,,,,,,,,,,,,,0.0,,
1536087537,100.0,1399.625,,,,,,,,,,,,,,,,,,,,,,,0.0,,
