,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1529429389,,,,,,,,,,,,,,,,,,,,205.4375,258.03125,,,,0.0,,
1529429461,,,206.25,37.8,,,,,,,,,,,,,,,,,,,,,0.0,,
1529429462,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1529429463,,,,,,,0.0,,,,,,,,,,,,,,,,193.59375,100.0,0.0,,
1529429464,,,206.6,37.8,,,,,,,,,,,,,,,,,,,,,0.0,,
1529429465,,,,,,,0.0,49.68,,,,,,,,,,,,,,,,,0.0,,
1529429467,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,
1529429468,0.0,600.625,,,,,0.0,,,,,,,,,,255.75,0.5,,,,,,,0.0,,
1529429469,,,207.7,37.4,,,,,,,,,,,,,,,,,,,,,0.0,,
1529429470,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,
1529429471,,,208.4,37.4,0.7,0.2,,,28.0,,,,,,,,,,,,,,,,0.0,,
1529429472,0.0,600.75,,,,,,,,,,,,,,,255.75,0.5,,189.5,255.75,33.0,,,0.0,,
1529429473,,,,,,,,,,,,,,0.0,136.0,,255.75,0.5,,,,,,,0.0,,
1529429474,,,,,0.7,0.2,,,,,,,,,,,,,,188.96875,255.75,,,,0.0,,
1529429475,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,
1529429476,,,,,,,,,,,,,,,,,,,,187.09375,255.75,,,,0.0,,
1529429477,0.0,599.875,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1529429478,,,208.4,37.4,,,,,,,,,,,,,,,,,,,,,0.0,,
1529429479,,,210.2,39.2,,,,,,,,,,,,,,,,,,,,,0.0,,
1529429480,,,,,,,,,,,,,,,,,,,,,,,,,0.0,236.6875,267.78125
1529429481,0.0,600.75,,,,,0.0,,,,,,,,,,255.75,0.5,,,,,,,0.0,,
1529429482,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1529429483,0.0,601.625,209.15,37.05,,,0.0,,,,,,,,,,,,,,,,,,0.0,,
1529429484,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1529429485,0.0,599.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1529429487,0.0,599.875,,,0.7,0.2,,,,,,,,,,,,,,,,,,,0.0,,
1529429488,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1529429489,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,
1529429490,,,,,,,0.0,,,,,,,,,0.0,254.21875,0.5,,184.65625,254.21875,,,,0.0,,
1529429491,0.0,600.625,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1529429492,,,,,,,,49.68,,,,,,,,,,,,,,,,,0.0,,
1529429493,0.0,601.125,,,,,0.0,,,,,,,,,,252.875,0.5,,,,,,,0.0,,
1529429495,,,,,,,,,,,,,,,,0.0,,,,,,,182.1875,100.0,0.0,,
1529429496,,,,,,,0.0,,,,,,,,,,252.875,0.5,,,,,,,0.0,,
1529429498,,,209.5,37.05,,,,,,,,,,,,,,,,,,,,,0.0,,
1529429499,,,,,,,,49.68,,,,,,,,,,,,,,,,,0.0,,
1529429500,0.0,600.375,,,,,,,,,,,,,,,,,,,,,,,0.0,242.0,281.5
1529429501,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,
1529429502,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,
1529429503,0.0,600.625,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1529429505,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,
1529429507,0.0,603.875,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1529429508,,,,,,,,,,,,,,,,,,,,,,,,,0.0,244.59375,286.6875
1529429509,0.0,601.5,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1529429510,,,209.85,36.35,,,0.0,,,,,,,,,,,,,,,,,,0.0,,
1529429511,,,,,,,,,,,,,,,,,252.875,0.4,,179.8125,252.875,,,,0.0,,
1529429512,,,207.7,37.05,,,,,,,,,,,,0.0,,,,,,,,,0.0,,
1529429513,0.0,597.875,,,,,,49.68,,,,,,,,,,,,,,,,,0.0,,
1529429514,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1529429515,0.0,600.625,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1529429516,,,,,,,,,,,,,,,,,,,,,,29.5,,,0.0,,
