,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1531324537,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
1531324538,0.0,0.0,0.0,0.0,,,,,,,,,,,,,299.0,0.0,,,,,,,3.0,,
1531324540,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,
1531324541,,,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,3.0,,
1531324542,,,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,3.0,,
1531324544,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,
1531324545,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
1531324546,,,0.0,0.0,,,,,,,,,,,,,299.0,0.0,,,,,,,3.0,,
1531324547,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,3.0,,
1531324548,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1531324549,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,
1531324550,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,
1531324552,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,
1531324553,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,
1531324555,0.0,0.0,,,,,0.0,,,,,,,,,,298.875,0.0,,,,,,,0.0,,
1531325483,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,
1531325484,9.0,1248.75,,,,,2.0,,,,,,,,,,,,,,,,,,0.0,,
1531325486,12.0,1173.625,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1531325489,13.0,1180.375,,,,,3.0,,,,,,,,,,,,,,,,,,0.0,,
1531325491,4.0,1029.75,454.3,321.1,,,,,,,,,,,,,,,,,,,,,0.0,,
1531325492,,,,,,,2.0,,,,,,,,,,,,,,,,,,0.0,,
1531325493,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1531325494,10.0,1016.0,,,,,3.0,,,,,,,,,,,,,,,,,,0.0,,
1531325495,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1531325496,,,,,,,2.0,,,,,,,,,,235.46875,1.5,,,,,,,0.0,,
1531325497,10.0,1037.25,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1531325498,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.0,,
1531325499,,,,,,,,4.58,,,,,,,,,,,,,,,,,0.0,,
1531325500,,,,,,,2.0,4.58,,,,,,,,0.0,233.0625,1.5,,,,,,,0.0,,
1531325501,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,
1531325502,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1531325503,,,,,,,,4.58,,,,,,,,,,,,,,,,,0.0,259.09375,271.0
1531325504,,,,,,,,,,,,,,,,,,,,207.03125,230.625,,,,0.0,,
1531325505,0.0,690.875,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,
1531325506,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.0,,
1531325509,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1531325510,,,,,,,,,,,,,,,,,,,,,,,,,0.0,257.78125,271.0
1531325512,,,,,0.7,0.2,,49.37,,,,,,,,,,,,,,,,,0.0,,
1531325513,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,
1531325514,0.0,600.375,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1531325515,,,,,0.6,0.2,,,,,,,,,,,,,,,,,,,0.0,,
1531325516,,,241.2,81.0,,,,,,,,,,,,,,,,,,,,,0.0,,
1531325517,0.0,847.5,292.3,214.2,,,,24.94,,,,,,,,0.0,,,,,,,,,0.0,,
1531325518,,,,,,,,4.58,,,,,,,,,224.15625,1.0,,204.03125,224.15625,,,,0.0,,
1531325519,0.0,1226.125,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1531325520,,,,,,,,,,,,,,,,,,,,204.03125,223.375,,,,0.0,,
1531325521,0.0,1200.0,,,,,1.0,,,,,,,,,,,,,,,,204.0,118.0,0.0,,
1531325523,0.0,1198.125,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1531325525,,,,,,,1.0,,,,,,,,,,,,,,,,204.0,122.0,0.0,,
1531325526,,,,,,,,,,,,,,0.0,296.0,,,,,,,,,,0.0,,
1531325527,0.0,1198.25,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1531325528,,,,,,,,,,,,,,,,,,,,,,,204.0,122.0,0.0,,
1531325529,0.0,1201.25,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1531325531,,,525.2,340.55,3.3,1.3,,,,,,,,,,,,,,,,,,,0.0,,
1531325533,0.0,1197.125,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1531325534,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,
1531325535,,,,,,,,,,,,,,,,,217.40625,1.9,,201.59375,217.40625,,,,0.0,,
1531325536,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,
1531325537,,,,,,,,,,,,,,,,,216.625,1.9,,201.5625,216.625,,,,0.0,,
1531325538,0.0,1205.125,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1531325539,,,,,,,,4.58,,,,,,,,,,,,,,,,,0.0,,
1531325540,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1531325541,0.0,1205.125,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1531325544,0.0,1205.625,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1531325545,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,
1531325546,0.0,1194.25,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1531325548,0.0,1201.125,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1531325549,,,527.75,338.4,,,0.0,,,,,,,,,,,,,,,,,,0.0,,
1531325550,,,527.75,338.0,3.2,1.3,,,,,,,,,,,,,,199.15625,213.6875,,,,0.0,,
1531325551,,,,,3.2,1.3,,,,,,,,,,,,,,198.5625,213.6875,,,,0.0,,
1531325552,,,,,3.2,1.3,,,,,,,,,,,,,,198.84375,213.53125,,,,0.0,,
1531325553,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1531325554,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,
1531325555,0.0,1199.5,,,,,0.0,,,,,,,,,,211.3125,1.8,,,,,,,0.0,,
1531325556,,,,,3.1,1.3,,,,,,,,,,,,,,196.75,211.28125,,,,0.0,,
