,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1529007889,,,,,,,8.0,,,,,,,,,,,,,,,,,,0.0,,
1529007891,25.0,1451.25,,,,,,,,,,,,,,,299.0,1.5,,,,,,,0.0,,
1529007893,,,,,,,4.0,,,,,,,,,,,,,,,,,,0.0,,
1529007894,,,561.6,285.45,2.7,1.1,,,,,,,,,,,,,,,,,,,0.0,,
1529007896,22.0,1479.875,565.55,289.05,,,,,,,,,,,,,,,,,,,,,0.0,,
1529007897,,,,,,,3.0,,,,,,,,,80.328125,,,,,,,,,0.0,,
1529007898,,,,,,,,,,,,,,,,,299.0,1.5,,313.875,299.0,,,,0.0,,
1529007899,,,,,,,,47.9,,,,,,,,,,,,,,,,,0.0,,
1529007900,21.0,1504.5,573.45,291.95,2.7,1.1,,,,,,,,,,,,,,,,,,,0.0,,
1529007901,,,,,,,2.0,,,,,,,,,,,,,,,24.0,,,0.0,,
1529007902,20.0,1519.625,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1529007904,20.0,1529.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1529007905,,,,,,,2.0,,,,,,,,,,,,,,,,,,0.0,,
1529007906,20.0,1532.625,,,,,,,,,,,,,,,,,,313.0,301.875,,,,0.0,,
1529007907,,,,,,,,46.24,,,,,,,,82.875,,,,,,,,,0.0,,
1529007908,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1529007909,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1529007910,,,479.85,211.3,,,,,,,,,,,,81.25,,,,,,,,,0.0,,
1529007911,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1529007912,22.0,1102.75,,,,,2.0,,,,,,,,,,,,,,,,,,0.0,,
1529007913,,,,,,,2.0,,,,,,,,,,,,,,,,,,0.0,,
1529007914,,,417.95,277.55,,,,,,,,,,,,80.828125,,,,,,,,,0.0,,
1529007916,32.0,1110.5,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1529007917,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,
1529007918,32.0,1120.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1529007919,,,442.8,257.75,,,,,,,,,,,,81.85156,,,,,,,,,0.0,,
1529007921,28.0,1117.0,436.65,254.5,2.1,0.8,,,,,,,,,,,,,,304.75,306.1875,,,,0.0,,
1529007922,,,,,,,,,,,,,,,,,307.625,1.2,,304.8125,307.625,,,,0.0,,
1529007923,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.0,,
1529007924,,,,,,,,31.51,,,,,,,,81.10156,,,,,,,307.5,108.0,0.0,,
1529007926,,,,,,,2.0,,,,,,,,,,,,,,,,,,0.0,,
1529007927,26.0,1111.875,,,,,2.0,30.99,,,,,,,,,,,,,,,,,0.0,,
1529007928,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1529007930,26.0,1112.5,,,,,,30.68,,,,,,,,,,,,,,,,,0.0,,
1529007931,,,,,,,2.0,,,,,,,,,,,,,,,,,,0.0,,
1529007932,25.0,1108.375,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1529007933,,,,,,,,,,,,,,,,81.265625,,,,,,,,,0.0,,
1529007934,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
