,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1530045675,,,0.0,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,,1.0,,
1530045676,,,,,,,0.0,42.0,,,,,,,,,,,,,,,,,1.0,,
1530045678,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1530046598,,,593.6,290.85,,,,,,,,,,,,,,,,,,,,,1.0,,
1530046599,26.0,1383.875,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1530046601,,,,,,,,,,,,,,,,,,,,,,25.0,,,1.0,,
1530046602,22.0,1393.625,464.0,209.5,,,,,,,,,,,,,,,,,,,,,1.0,,
1530046605,,,,,,,,,,,,,,,,39.414062,,,,,,,,,1.0,,
1530046606,19.0,1381.125,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1530046607,,,315.0,30.6,,,8.0,,,,,,,,,,,,,,,,,,1.0,,
1530046608,,,386.6,443.5,,,,,,,,,,,,,,,,,,,,,1.0,,
1530046609,78.0,1002.5,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1530046610,,,,,,,,,,,,,,,,,,,,,,,348.0,144.0,1.0,,
1530046611,71.0,1030.5,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1530046614,52.0,1095.5,766.4,493.9,,,51.0,,,,,,,,,,,,,,,,,,1.0,,
1530046615,,,751.65,497.5,,,,,,,,,,,,,,,,,,,,,1.0,,
1530046616,,,750.95,502.9,,,,,,,,,,,,,,,,,,,,,1.0,,
1530046618,27.0,1147.5,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1530046619,,,585.35,244.05,,,,,,,,,,,,44.898438,,,,,,,,,1.0,,
1530046620,,,,,,,,15.75,,,,,,,,,410.34375,4.5,,362.5,410.34375,,,,1.0,,
1530046621,,,,,,,4.0,,,,,,,,,,,,,,,,,,1.0,,
1530046622,39.0,1160.75,636.45,391.3,,,,,,,,,,,,,,,,,,,,,1.0,,
1530046623,,,,,8.1,2.0,,16.27,,,,,,,,,,,,362.5,410.34375,,,,1.0,,
1530046624,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1530046625,,,,,7.1,1.7,,,,,,,,,,,,,,362.78125,410.34375,,,,1.0,,
1530046626,24.0,1168.375,,,,,,,,,,,,,,,,,420.59375,,,,,,1.0,,
1530046627,,,,,,,,,,,,,,,,,410.34375,3.6,,361.40625,410.34375,,,,1.0,,
1530046628,,,,,,,0.0,,,,,,,,,,410.34375,3.5,,,,,,,1.0,,
1530046629,11.0,1164.0,385.9,153.35,,,,15.13,,,,,,,,,,,,,,,,,1.0,,
1530046630,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1530046632,,,,,,,0.0,,,,,,,,,,,,,,,,356.6875,90.0,1.0,,
1530046633,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1530046634,,,348.1,64.4,,,,,,,,,,,,,,,,,,,,,1.0,,
1530046635,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1530046637,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1530046638,24.0,1134.5,,,4.3,1.0,,,,,,,,,,,,,,,,,,,1.0,,
1530046640,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1530046642,36.0,1132.75,580.3,342.7,,,,,,,,,,,,,,,,,,,,,1.0,,
1530046643,,,,,,,0.0,,,,,,,,,,,,,,,,,,1.0,,
1530046645,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1530046646,30.0,1137.25,,,,,0.0,,,,,,,,,,,,,,,,,,1.0,,
1530046647,,,,,,,0.0,,,,,,,,,,410.3125,5.0,,,,,,,1.0,,
1530046648,,,,,,,0.0,,,,,,,,,,410.3125,4.3,,,,,,,1.0,,
1530046649,23.0,1129.75,,,,,,14.5,,,,,,,,,,,,,,,,,1.0,,
1530046650,,,,,,,,,,,,,,,,44.078125,410.3125,3.7,,348.0625,410.3125,,,,1.0,,
1530046651,,,394.2,250.2,,,,,,,,,,,,,,,,,,,,,1.0,,
1530046652,26.0,1108.5,,,,,1.0,,,,,,,,,43.601562,,,,,,,,,1.0,,
1530046653,,,,,,,,,,,,,,,,,,,,348.0625,410.3125,,,,1.0,,
1530046654,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,
1530046655,36.0,1092.75,,,,,,11.68,,,,108.0,97.0,,,,,,,,,,,,1.0,,
1530046657,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1530046659,,,,,5.0,1.1,,10.95,,,,,,,,,,,,,,,,,1.0,,
1530046660,,,,,,,4.0,,,,,,,,,41.03125,410.3125,3.5,,,,,,,1.0,,
1530046661,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1530046662,,,,,,,4.0,11.05,,,,,,,,,,,,,,,,,1.0,,
1530046663,,,,,5.9,1.4,2.0,10.95,,,,,,,,,,,,,,,,,1.0,,
1530046664,,,,,,,2.0,9.7,,,,,,,,,410.3125,5.4,,,,,,,1.0,,
1530046665,,,566.6,417.2,,,,,,,,,,,,,,,,,,,,,1.0,,
1530046666,46.0,1005.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1530046667,,,,,,,,,,,,,,,,,,,,,,,356.59375,160.0,1.0,,
1530046668,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1530046671,70.0,1015.5,,,,,30.0,,,,,,,,,,410.3125,8.1,,,,,,,1.0,,
1530046672,,,,,,,41.0,,,,,,,,,,410.3125,8.1,,,,,,,1.0,,
1530046673,68.0,1021.0,,,,,47.0,,,,,108.0,96.0,,,,410.3125,8.1,,368.0625,410.3125,,,,1.0,,
1530046674,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1530046675,67.0,1033.5,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1530046676,,,,,,,,,,,,,,,,,,,413.6875,,,,,,1.0,,
1530046677,65.0,1057.25,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1530046679,,,780.45,501.1,,,,,,,,,,,,,,,,,,,,,1.0,,
1530046680,,,,,10.5,2.8,,,,,,,,,,43.304688,,,,377.78125,411.84375,,,,1.0,,
1530046681,41.0,1117.75,,,,,,15.13,,,,,,,,,,,,,,,,,1.0,,
1530046682,,,,,,,,,,,,,,0.0,260.0,,,,,,,,,,1.0,,
1530046683,0.0,1120.0,,,6.8,1.7,28.0,,,,,,,,,43.757812,,,,,,,,,1.0,,
1530046684,,,370.05,34.9,,,,,,,,,,,,,,,,374.0625,413.09375,,,,1.0,,
1530046685,0.0,1100.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1530046687,0.0,1089.75,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1530046690,0.0,1068.0,,,,,4.0,,,,,,,,,,,,,,,,,,1.0,,
1530046691,,,,,,,,,,24408.0,,,,,,,,,,,,,,,1.0,,
1530046692,,,,,,,3.0,,,,,,,,,,413.25,3.2,,,,,,,1.0,,
1530046693,2.0,1032.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1530046694,,,,,4.1,0.9,,,,,,,,,,40.257812,412.25,3.1,,345.28125,412.25,25.0,,,1.0,,
1530046695,,,,,,,,,,,,,,,,,,,,,,,345.09375,90.0,1.0,,
1530046696,,,,,4.0,0.9,,,,,,,,,,39.203125,,,,,,,,,1.0,,
1530046697,2.0,972.125,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,
1530046698,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1530046699,3.0,950.375,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1530046700,,,301.3,29.5,,,,,,,,,,,,,,,,,,,,,1.0,,
1530046701,3.0,928.0,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,
1530046703,,,,,,,2.0,,,,,,,,,,412.78125,2.8,,,,,,,1.0,,
1530046704,,,,,3.5,0.8,,,,,,,,,,,,,,,,,,,1.0,,
1530046705,0.0,893.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,
1530046706,,,,,3.4,0.8,,,,,,,,,,,,,,,,,,,1.0,,
1530046708,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,
1530046709,0.0,602.375,216.0,30.95,,,0.0,,,,,,,,,,,,,,,,,,1.0,,
1530046711,0.0,599.0,213.45,32.0,2.5,0.5,,,,,,,,,,,,,,316.34375,410.59375,,,,1.0,,
1530046713,0.0,599.625,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,
1530046714,,,,,,,1.0,,,,,,,,,,410.34375,1.9,,,,,,,1.0,,
