,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1541786610,0.0,943.625,440.6,149.4,2.1,1.0,0.0,4.69,,,,,,0.0,212.0,27.03125,304.78125,1.2,313.5,252.875,304.78125,,252.78125,108.0,0.0,292.0,300.0
1541786617,,,847.05,569.5,3.5,1.6,0.0,43.42,,,,103.0,88.0,,,27.101562,301.90625,1.8,,249.9375,301.90625,-6.0,,,0.0,,
1541786623,63.0,1278.875,974.15,614.15,4.3,2.1,0.0,47.28,,66540.0,,,,,,36.476562,296.125,2.2,,261.53125,296.125,,,,0.0,,
1541786630,,,888.8,226.4,8.5,4.7,26.0,4.9,,,,,,,,,284.59375,3.8,,275.90625,284.59375,,,,0.0,,
1541786637,74.0,1336.625,1464.45,772.55,9.0,4.9,43.0,43.42,,,,,,,,,275.9375,4.0,,287.15625,275.9375,,,,0.0,,
1541786643,,,697.3,290.5,3.4,1.6,23.0,43.42,,,,,,0.0,348.0,,272.65625,1.7,310.5,288.875,272.65625,,290.28125,128.0,0.0,,
1541786650,23.0,1386.875,586.8,278.6,2.3,1.0,3.0,39.76,,,,,,,,,273.0,1.2,,288.03125,273.0,,,,0.0,,
1541786657,,,545.75,252.7,,,2.0,28.17,,27292.0,,,,,,,,,,,,,,,0.0,,
1541786663,0.0,1559.375,703.8,282.6,4.0,1.9,0.0,4.69,,,,,,,,,275.90625,2.0,,275.9375,275.90625,,,,0.0,,
1541786670,,,1022.0,495.0,5.7,3.0,0.0,4.69,,,,,,,,,278.8125,2.7,,258.625,278.8125,,,,0.0,284.59375,298.375
1541786676,0.0,1363.375,752.4,339.1,4.1,2.0,0.0,4.69,,,,,,,,,281.6875,2.0,,238.03125,281.6875,,242.09375,136.0,0.0,,
1541786683,,,500.0,292.3,2.5,1.1,0.0,4.69,1.0,,,,,,,,281.6875,1.3,,228.21875,281.6875,,,,0.0,,
1541786690,61.0,1175.375,895.3,597.6,4.2,2.1,0.0,26.72,,,,,,,,,276.0625,2.1,,234.53125,276.0625,,,,0.0,,
1541786696,,,772.2,323.25,9.0,5.0,24.0,4.69,,,,,,,,,270.1875,3.9,,258.59375,270.1875,,,,0.0,,
