,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1536073118,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1536073119,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,
1536073120,0.0,0.0,,,,,0.0,,,,,97.0,93.0,,,,,,,,,,,,0.0,,
1536073121,,,0.0,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,
1536073122,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,
1536073123,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1536074050,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1536074051,,,,,9.7,3.5,34.0,,,,,,,,,108.27344,366.5,6.1,,372.0625,366.5,,,,0.0,,
1536074052,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1536074053,62.0,1471.625,1157.75,688.3,,,,,,,,,,,,,,,,,,,,,0.0,,
1536074054,,,,,11.0,4.1,,,,,,,,,,,,,,372.75,367.75,,,,0.0,,
1536074055,,,,,11.5,4.4,,,,,,,,,,,366.5,7.0,,373.9375,366.5,,,,0.0,,
1536074056,67.0,1470.375,,,,,43.0,,,,,,,,,,,,,,,,,,0.0,,
1536074057,,,,,12.5,4.9,47.0,,,,,,,,,,,,,,,,,,0.0,,
1536074058,69.0,1465.125,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1536074059,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1536074060,69.0,1462.875,,,,,,,,,,,,,,,368.15625,7.6,,,,,,,0.0,,
1536074061,,,1315.05,747.35,,,52.0,,,,,,,,,,,,,,,,,,0.0,,
1536074062,70.0,1458.125,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1536074063,,,,,,,,,,,,,,,,106.69531,,,,,,,,,0.0,,
1536074064,,,1363.3,788.0,,,,,,,,,,,,,,,,371.65625,368.21875,,,,0.0,,
1536074065,,,,,,,,,,,,,,,,107.8125,,,,,,,,,0.0,,
1536074066,84.0,1467.625,,,,,53.0,,,,,,,,,,,,,,,,,,0.0,,
1536074068,59.0,1499.875,,,,,,,,,,,,,,109.50781,,,,372.75,368.21875,,,,0.0,,
1536074069,,,,,,,190.0,,,,,,,,,,,,,,,,,,0.0,,
1536074070,55.0,1499.875,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1536074071,,,1188.0,698.75,,,,,,,,,,,,,368.21875,6.4,,368.25,368.21875,,,,0.0,,
1536074072,,,950.4,286.9,,,52.0,,,,,,,,,,368.9375,5.9,,,,,,,0.0,,
1536074073,0.0,1493.625,,,,,,,,,,,,,,,,,,365.5,368.25,,,,0.0,,
1536074075,,,,,,,16.0,,,,,,,,,,,,,,,,,,0.0,,
1536074076,,,,,,,17.0,,,,,,,,,,,,,,,,,,0.0,,
1536074078,39.0,1503.375,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1536074079,,,,,5.8,2.0,,,,,,,,,,,,,,,,,,,0.0,,
1536074080,20.0,1499.625,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1536074082,39.0,1499.25,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1536074083,,,,,7.2,2.5,,24.0,,,,,,,,,,,,,,,,,0.0,,
1536074084,34.0,1503.875,,,,,22.0,,,,,,,,,,,,,,,,,,0.0,,
1536074085,,,,,,,24.0,,,,,,,,,,,,,,,,,,0.0,,
1536074086,,,,,,,23.0,,,,,,,,,,,,,,,,,,0.0,,
1536074087,,,,,,,,61.79,,,,,,,,,,,,,,,,,0.0,,
1536074089,37.0,1501.5,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1536074090,,,,,,,,,,,,,,,,,,,,,,,,,0.0,347.375,348.5
1536074091,,,,,4.9,1.6,,,,,,,,,,,,,,362.46875,367.5,,,,0.0,,
1536074092,46.0,1497.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,
1536074094,39.0,1498.375,,,,,,,,,,,,,,109.46094,,,,,,,,,0.0,,
1536074095,,,,,,,32.0,,,,,,,,,,366.625,5.2,,,,,,,0.0,,
1536074096,,,,,,,,,,,,,,,,108.4375,,,,,,,,,0.0,,
1536074097,,,,,,,,,,,,108.0,91.0,,,,365.375,5.3,,364.4375,365.375,,,,0.0,,
