,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1542103389,0.0,698.375,243.7,42.8,0.2,0.2,0.0,16.07,,,,,,0.0,364.0,,92.28125,0.0,75.0,48.1875,92.28125,,48.09375,94.0,1.0,,
1542103395,,,245.85,35.25,0.2,0.2,0.0,13.36,,,,,,,,,93.4375,0.0,,50.09375,93.4375,,,,1.0,,
1542103402,0.0,699.875,249.45,32.0,0.2,0.2,0.0,11.48,,,,,,,,,94.09375,0.0,,52.0,94.09375,-9.0,,,1.0,,
1542103408,,,250.9,29.85,0.3,0.2,0.0,10.95,,,,,,,,,94.1875,0.0,,54.25,94.1875,,,,1.0,,
1542103415,0.0,700.125,253.4,27.7,0.3,0.2,0.0,10.01,,,,,,,,,94.1875,0.0,92.1875,55.9375,94.1875,,,,1.0,58.59375,74.59375
1542103422,,,254.5,27.35,0.3,0.2,0.0,9.49,,,,,,,,,94.1875,0.0,,57.75,94.1875,,57.6875,94.0,1.0,,
1542103428,0.0,700.625,255.95,25.55,0.3,0.2,0.0,,-7.0,,,,,,,,94.1875,0.0,,59.6875,94.1875,,,,1.0,,
1542103435,,,257.0,25.2,0.3,0.2,0.0,8.34,,,,,,,,,94.1875,0.0,,61.46875,94.1875,-9.0,,,1.0,,
1542103441,0.0,700.375,258.45,23.75,0.3,0.2,0.0,8.13,,,,,,,,,92.5625,0.0,,63.25,92.5625,,,,1.0,,
1542103448,,,259.55,21.95,0.3,0.2,0.0,7.51,,,,,,0.0,344.0,0.0,92.3125,0.0,106.1875,63.5,92.3125,,63.5,94.0,1.0,71.6875,94.59375
1542103455,0.0,700.125,261.0,21.6,0.3,0.2,0.0,7.2,,,,,,,,0.0,90.40625,0.0,,65.4375,90.40625,,,,1.0,,
1542103462,,,260.6,18.35,0.3,0.2,0.0,6.57,-7.0,,,,,,,0.0,89.09375,0.0,,65.4375,89.09375,,,,1.0,,
1542103468,0.0,700.125,260.6,17.25,0.3,0.2,0.0,6.57,,10584.0,,,,,,,86.65625,0.0,,66.9375,86.65625,,,,1.0,,
1542103475,,,261.35,15.45,0.3,0.2,0.0,6.46,,,,,,,,,86.28125,0.0,,67.34375,86.28125,,,,1.0,,
1542103482,0.0,698.875,262.4,17.25,0.3,0.2,0.0,6.15,,,,,,0.0,340.0,,83.15625,0.0,115.5,67.34375,83.15625,-8.5,67.28125,92.0,1.0,,
1542103488,,,263.15,14.4,0.4,0.2,0.0,5.52,,,,,,,,,82.71875,0.1,,67.875,82.71875,,,,1.0,,
1542103495,,,263.15,15.45,0.4,0.2,0.0,5.52,,,,,,,,,80.8125,0.1,,69.28125,80.8125,,,,1.0,,
1542103501,,,265.3,16.55,0.4,0.2,0.0,5.21,,11264.0,,,,,,,78.875,0.1,,69.46875,78.875,,,,1.0,,
1542103508,,,264.6,15.45,,,0.0,5.21,,,,,,,,,,,116.78125,,,,,,1.0,85.5,107.375
